hub,agent,host,strong_proofs,weak_proofs,exists_in_hub,confidence,source_file
AffectiveProcessingCenter,EmotionEngine,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
AffectiveProcessingCenter,EmotionSynthesisAgent,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
AffectiveProcessingCenter,MoodTrackerAgent,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
AffectiveProcessingCenter,EmpathyAgent,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
AffectiveProcessingCenter,ToneDetector,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
AffectiveProcessingCenter,DynamicIdentityAgent,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
RealTimeAudioPipeline,STTService,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
RealTimeAudioPipeline,TTSService,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
RealTimeAudioPipeline,StreamingTTSAgent,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
RealTimeAudioPipeline,Responder,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
RealTimeAudioPipeline,VoiceProfilingAgent,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
RealTimeAudioPipeline,AudioCapture,MainPC,hub_code_refs,none,false,0.60,mainpc_code/config/startup_config.yaml
RealTimeAudioPipeline,StreamingSpeechRecognition,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
RealTimeAudioPipeline,StreamingInterruptHandler,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
RealTimeAudioPipeline,StreamingLanguageAnalyzer,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
RealTimeAudioPipeline,NoiseReductionAgent,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
ModelOpsCoordinator,ChainOfThoughtAgent,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
ModelOpsCoordinator,TinyLlamaServiceEnhanced,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
ModelOpsCoordinator,CognitiveModelAgent,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
ModelOpsCoordinator,ModelManagerSuite,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
ModelOpsCoordinator,VRAMOptimizerAgent,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
ModelOpsCoordinator,RequestCoordinator,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
UnifiedObservabilityCenter,PredictiveHealthMonitor,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
UnifiedObservabilityCenter,ActiveLearningMonitor,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
UnifiedObservabilityCenter,ObservabilityDashboardAPI,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
UnifiedObservabilityCenter,ObservabilityHub,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
MemoryFusionHub,LearningOpportunityDetector,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
MemoryFusionHub,LearningManager,MainPC,hub_code_refs,none,false,0.60,mainpc_code/config/startup_config.yaml
MemoryFusionHub,MemoryClient,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
MemoryFusionHub,SessionMemoryAgent,MainPC,none,none,false,0.00,mainpc_code/config/startup_config.yaml
RealTimeAudioPipeline,SpeechRelayService,PC2,none,none,false,0.00,pc2_code/config/startup_config.yaml
